"","names","total"
"14833","all need",215
"14834","america is",215
"14835","an international",215
"14836","another thing",215
"14837","anytime soon",215
"14838","brought the",215
"14839","can save",215
"14840","creates a",215
"14841","degree of",215
"14842","especially with",215
"14843","etc etc",215
"14844","fit for",215
"14845","has only",215
"14846","have chosen",215
"14847","head back",215
"14848","help a",215
"14849","her house",215
"14850","how your",215
"14851","in small",215
"14852","is basically",215
"14853","it thats",215
"14854","just come",215
"14855","look great",215
"14856","lost and",215
"14857","market is",215
"14858","month for",215
"14859","morning for",215
"14860","never going",215
"14861","never too",215
"14862","new single",215
"14863","not afraid",215
"14864","not if",215
"14865","of gold",215
"14866","really cant",215
"14867","reason and",215
"14868","right out",215
"14869","right time",215
"14870","seek to",215
"14871","simple as",215
"14872","still at",215
"14873","sure im",215
"14874","thanks everyone",215
"14875","the batter",215
"14876","the closet",215
"14877","the credit",215
"14878","the hours",215
"14879","the items",215
"14880","the newspaper",215
"14881","things out",215
"14882","think theyre",215
"14883","this twitter",215
"14884","this work",215
"14885","to commit",215
"14886","to now",215
"14887","unless they",215
"14888","wasnt even",215
"14889","we even",215
"14890","we wouldnt",215
"14891","well maybe",215
"14892","will run",215
"14893","willingness to",215
"14894","with is",215
"14895","yet and",215
"14896","a tool",214
"14897","adding a",214
"14898","an epic",214
"14899","an extremely",214
"14900","any new",214
"14901","be well",214
"14902","black people",214
"14903","buy them",214
"14904","call this",214
"14905","content is",214
"14906","covered with",214
"14907","details on",214
"14908","did anyone",214
"14909","die for",214
"14910","doing nothing",214
"14911","eat at",214
"14912","entitled to",214
"14913","figured it",214
"14914","find in",214
"14915","garlic and",214
"14916","get lost",214
"14917","getting more",214
"14918","goes for",214
"14919","great article",214
"14920","has begun",214
"14921","headed back",214
"14922","her at",214
"14923","her sister",214
"14924","hold it",214
"14925","i drove",214
"14926","i sometimes",214
"14927","i to",214
"14928","in central",214
"14929","is given",214
"14930","its now",214
"14931","just by",214
"14932","least we",214
"14933","lol that",214
"14934","loud and",214
"14935","minutes in",214
"14936","more a",214
"14937","my self",214
"14938","need any",214
"14939","new stuff",214
"14940","now youre",214
"14941","of ice",214
"14942","of nowhere",214
"14943","of on",214
"14944","oh boy",214
"14945","ordered a",214
"14946","others have",214
"14947","part to",214
"14948","path of",214
"14949","please go",214
"14950","public and",214
"14951","rainy day",214
"14952","really that",214
"14953","said of",214
"14954","same with",214
"14955","see is",214
"14956","share some",214
"14957","since that",214
"14958","some pictures",214
"14959","soon enough",214
"14960","starting the",214
"14961","still no",214
"14962","strength of",214
"14963","taste and",214
"14964","the consequences",214
"14965","the tiny",214
"14966","then get",214
"14967","theyre a",214
"14968","throw it",214
"14969","to climb",214
"14970","to mix",214
"14971","to question",214
"14972","to three",214
"14973","to town",214
"14974","town for",214
"14975","tweet and",214
"14976","weather in",214
"14977","website for",214
"14978","what type",214
"14979","which made",214
"14980","will no",214
"14981","wrong but",214
"14982","yeah yeah",214
"14983","yes there",214
"14984","you bet",214
"14985","a french",213
"14986","a process",213
"14987","a program",213
"14988","about why",213
"14989","acts of",213
"14990","and drive",213
"14991","and gives",213
"14992","are part",213
"14993","article in",213
"14994","been watching",213
"14995","calm and",213
"14996","centre of",213
"14997","could hear",213
"14998","face in",213
"14999","fine with",213
"15000","for winning",213
"15001","get real",213
"15002","giving it",213
"15003","good you",213
"15004","hows it",213
"15005","i meet",213
"15006","in exchange",213
"15007","in pittsburgh",213
"15008","just never",213
"15009","just on",213
"15010","looking into",213
"15011","loved to",213
"15012","my lunch",213
"15013","not able",213
"15014","not many",213
"15015","now go",213
"15016","offering a",213
"15017","old i",213
"15018","pick me",213
"15019","ps i",213
"15020","read all",213
"15021","reasons i",213
"15022","said something",213
"15023","she may",213
"15024","should also",213
"15025","talk of",213
"15026","the fucking",213
"15027","the needs",213
"15028","the running",213
"15029","the science",213
"15030","them what",213
"15031","there just",213
"15032","think were",213
"15033","thinking and",213
"15034","this by",213
"15035","this dude",213
"15036","this from",213
"15037","though so",213
"15038","time last",213
"15039","to dig",213
"15040","trying not",213
"15041","u see",213
"15042","what had",213
"15043","will pay",213
"15044","will put",213
"15045","will turn",213
"15046","with different",213
"15047","young woman",213
"15048","a fish",212
"15049","a threat",212
"15050","a wish",212
"15051","again im",212
"15052","although he",212
"15053","am excited",212
"15054","at with",212
"15055","believed that",212
"15056","birth to",212
"15057","can cause",212
"15058","can choose",212
"15059","cleaning up",212
"15060","comes down",212
"15061","comments and",212
"15062","concentrate on",212
"15063","great music",212
"15064","had for",212
"15065","have with",212
"15066","heart i",212
"15067","his hair",212
"15068","knew he",212
"15069","let that",212
"15070","like those",212
"15071","lines and",212
"15072","little brother",212
"15073","making some",212
"15074","month to",212
"15075","of science",212
"15076","on january",212
"15077","or call",212
"15078","past couple",212
"15079","places and",212
"15080","rights of",212
"15081","she thinks",212
"15082","stories that",212
"15083","sure ill",212
"15084","sure my",212
"15085","than hours",212
"15086","the angels",212
"15087","the ncaa",212
"15088","the prime",212
"15089","the tweets",212
"15090","them together",212
"15091","they start",212
"15092","thinking it",212
"15093","to ever",212
"15094","to gather",212
"15095","to right",212
"15096","u wanna",212
"15097","was arrested",212
"15098","way this",212
"15099","week it",212
"15100","who makes",212
"15101","york and",212
"15102","you started",212
"15103","your right",212
"15104","a flat",211
"15105","a government",211
"15106","a k",211
"15107","all people",211
"15108","and cold",211
"15109","and several",211
"15110","announce the",211
"15111","applies to",211
"15112","ball and",211
"15113","be glad",211
"15114","by hand",211
"15115","challenge to",211
"15116","dont judge",211
"15117","evening and",211
"15118","excuse for",211
"15119","experience i",211
"15120","face i",211
"15121","feeling good",211
"15122","few other",211
"15123","follow this",211
"15124","for who",211
"15125","from behind",211
"15126","he comes",211
"15127","house that",211
"15128","im fine",211
"15129","ive written",211
"15130","judge me",211
"15131","just enough",211
"15132","let this",211
"15133","lets start",211
"15134","little guy",211
"15135","minutes i",211
"15136","monday i",211
"15137","much work",211
"15138","my latest",211
"15139","my week",211
"15140","needs and",211
"15141","no man",211
"15142","of as",211
"15143","of here",211
"15144","one might",211
"15145","only days",211
"15146","out too",211
"15147","please note",211
"15148","possible and",211
"15149","published by",211
"15150","putting together",211
"15151","really hate",211
"15152","regard to",211
"15153","rules of",211
"15154","safe travels",211
"15155","san jose",211
"15156","taylor swift",211
"15157","the bears",211
"15158","the democratic",211
"15159","the panel",211
"15160","the stock",211
"15161","theres only",211
"15162","these little",211
"15163","they couldnt",211
"15164","they thought",211
"15165","theyre just",211
"15166","this situation",211
"15167","through that",211
"15168","tree and",211
"15169","true rt",211
"15170","two are",211
"15171","us get",211
"15172","walk on",211
"15173","was named",211
"15174","was originally",211
"15175","why but",211
"15176","wonderful time",211
"15177","work day",211
"15178","world will",211
"15179","wouldve been",211
"15180","years that",211
"15181","youre all",211
"15182","and lost",210
"15183","and power",210
"15184","article about",210
"15185","be loved",210
"15186","best time",210
"15187","bring them",210
"15188","but be",210
"15189","can turn",210
"15190","chicago illinois",210
"15191","consider it",210
"15192","finish this",210
"15193","for business",210
"15194","for checking",210
"15195","future is",210
"15196","go outside",210
"15197","grace and",210
"15198","hang on",210
"15199","has turned",210
"15200","have his",210
"15201","have plenty",210
"15202","have really",210
"15203","him his",210
"15204","his feet",210
"15205","home we",210
"15206","i fear",210
"15207","imagine a",210
"15208","is any",210
"15209","is complete",210
"15210","issues that",210
"15211","just some",210
"15212","legs and",210
"15213","marriage is",210
"15214","maybe this",210
"15215","me look",210
"15216","me sad",210
"15217","minute of",210
"15218","more at",210
"15219","new songs",210
"15220","no money",210
"15221","of modern",210
"15222","pepper and",210
"15223","project for",210
"15224","replaced by",210
"15225","respect to",210
"15226","send your",210
"15227","shoot me",210
"15228","skin and",210
"15229","social network",210
"15230","some big",210
"15231","soon after",210
"15232","surprised by",210
"15233","taken in",210
"15234","talent and",210
"15235","teach me",210
"15236","thatd be",210
"15237","the clippers",210
"15238","the dude",210
"15239","the fresh",210
"15240","the giant",210
"15241","the jewish",210
"15242","the performance",210
"15243","the places",210
"15244","the seven",210
"15245","them know",210
"15246","then just",210
"15247","this when",210
"15248","to chill",210
"15249","to london",210
"15250","training for",210
"15251","unless i",210
"15252","water for",210
"15253","well said",210
"15254","where were",210
"15255","while a",210
"15256","with water",210
"15257","written about",210
"15258","you meet",210
"15259","a habit",209
"15260","amazing day",209
"15261","amazing to",209
"15262","an honor",209
"15263","an odd",209
"15264","and hold",209
"15265","are even",209
"15266","are much",209
"15267","at ya",209
"15268","band and",209
"15269","busy and",209
"15270","by doing",209
"15271","checking in",209
"15272","child in",209
"15273","contrary to",209
"15274","developed a",209
"15275","eye and",209
"15276","focuses on",209
"15277","for putting",209
"15278","form the",209
"15279","gone through",209
"15280","guy on",209
"15281","hard but",209
"15282","he tried",209
"15283","here if",209
"15284","here today",209
"15285","how cool",209
"15286","i learn",209
"15287","im reading",209
"15288","in everything",209
"15289","is im",209
"15290","its am",209
"15291","kingdom of",209
"15292","life would",209
"15293","little and",209
"15294","lol so",209
"15295","lost his",209
"15296","me here",209
"15297","me though",209
"15298","meeting at",209
"15299","of freedom",209
"15300","of saying",209
"15301","on things",209
"15302","one reason",209
"15303","others i",209
"15304","pretend to",209
"15305","program and",209
"15306","refusing to",209
"15307","replace the",209
"15308","say my",209
"15309","school district",209
"15310","second and",209
"15311","she always",209
"15312","shop in",209
"15313","side i",209
"15314","some awesome",209
"15315","suffering from",209
"15316","telling us",209
"15317","than not",209
"15318","that arent",209
"15319","the brooklyn",209
"15320","the capital",209
"15321","the damage",209
"15322","the happiest",209
"15323","the norm",209
"15324","the piano",209
"15325","them now",209
"15326","to bear",209
"15327","to shake",209
"15328","too cute",209
"15329","twitter feed",209
"15330","u love",209
"15331","very least",209
"15332","was meant",209
"15333","who took",209
"15334","work was",209
"15335","would the",209
"15336","writer and",209
"15337","you left",209
"15338","you listen",209
"15339","your opinion",209
"15340","a pile",208
"15341","always remember",208
"15342","and facebook",208
"15343","and something",208
"15344","b the",208
"15345","bad about",208
"15346","boy i",208
"15347","but first",208
"15348","came down",208
"15349","cant decide",208
"15350","cell phones",208
"15351","country in",208
"15352","dad was",208
"15353","day all",208
"15354","fan and",208
"15355","find any",208
"15356","go about",208
"15357","good looking",208
"15358","good movie",208
"15359","great in",208
"15360","have created",208
"15361","in da",208
"15362","in they",208
"15363","interested to",208
"15364","into some",208
"15365","is left",208
"15366","it come",208
"15367","ive gotten",208
"15368","least not",208
"15369","loving this",208
"15370","maybe if",208
"15371","miles from",208
"15372","miss me",208
"15373","movie was",208
"15374","my goodness",208
"15375","numbers of",208
"15376","photos from",208
"15377","pull it",208
"15378","responding to",208
"15379","running in",208
"15380","said his",208
"15381","send the",208
"15382","shame on",208
"15383","sharing your",208
"15384","showing the",208
"15385","soul and",208
"15386","spend some",208
"15387","technology and",208
"15388","thank the",208
"15389","that allows",208
"15390","that question",208
"15391","the argument",208
"15392","the crap",208
"15393","the creator",208
"15394","the drama",208
"15395","the period",208
"15396","the shows",208
"15397","the to",208
"15398","them have",208
"15399","there might",208
"15400","therefore i",208
"15401","to investigate",208
"15402","to kiss",208
"15403","to mr",208
"15404","until this",208
"15405","was saying",208
"15406","wearing the",208
"15407","while this",208
"15408","without them",208
"15409","a doubt",207
"15410","a possible",207
"15411","a solution",207
"15412","and b",207
"15413","and fall",207
"15414","and sat",207
"15415","and soul",207
"15416","at no",207
"15417","attracted to",207
"15418","black friday",207
"15419","brain is",207
"15420","but yeah",207
"15421","c u",207
"15422","characters in",207
"15423","check on",207
"15424","child i",207
"15425","city hall",207
"15426","comes on",207
"15427","creative and",207
"15428","days with",207
"15429","didnt care",207
"15430","dm us",207
"15431","face with",207
"15432","first but",207
"15433","for students",207
"15434","friends for",207
"15435","had ever",207
"15436","had nothing",207
"15437","hard not",207
"15438","has lost",207
"15439","has really",207
"15440","hear me",207
"15441","him down",207
"15442","i attended",207
"15443","i smell",207
"15444","is closed",207
"15445","is under",207
"15446","ive said",207
"15447","jump on",207
"15448","just two",207
"15449","keep her",207
"15450","kept me",207
"15451","learned about",207
"15452","level and",207
"15453","my plan",207
"15454","network of",207
"15455","not long",207
"15456","not of",207
"15457","of political",207
"15458","of various",207
"15459","on sat",207
"15460","out right",207
"15461","outside my",207
"15462","plan a",207
"15463","points for",207
"15464","radio station",207
"15465","said yes",207
"15466","save money",207
"15467","some interesting",207
"15468","somewhere else",207
"15469","speak for",207
"15470","started this",207
"15471","stated that",207
"15472","story for",207
"15473","summer of",207
"15474","take for",207
"15475","the challenges",207
"15476","the higher",207
"15477","the highway",207
"15478","the hole",207
"15479","the necessary",207
"15480","thinks that",207
"15481","to heal",207
"15482","to wrap",207
"15483","too we",207
"15484","visit with",207
"15485","was easy",207
"15486","was inspired",207
"15487","was sent",207
"15488","were great",207
"15489","with white",207
"15490","you pick",207
"15491","a discount",206
"15492","a prize",206
"15493","a relatively",206
"15494","always looking",206
"15495","and sharing",206
"15496","and warm",206
"15497","are full",206
"15498","been used",206
"15499","before his",206
"15500","break out",206
"15501","by not",206
"15502","can win",206
"15503","compared with",206
"15504","do its",206
"15505","do these",206
"15506","exchange for",206
"15507","fact of",206
"15508","finally getting",206
"15509","for things",206
"15510","good mood",206
"15511","good place",206
"15512","got more",206
"15513","green bay",206
"15514","hadnt been",206
"15515","heaven and",206
"15516","helping to",206
"15517","hes still",206
"15518","his birthday",206
"15519","home a",206
"15520","i move",206
"15521","important and",206
"15522","is wonderful",206
"15523","it since",206
"15524","jesus and",206
"15525","job as",206
"15526","law school",206
"15527","lie to",206
"15528","loves the",206
"15529","no school",206
"15530","of sugar",206
"15531","on espn",206
"15532","only hope",206
"15533","our future",206
"15534","out one",206
"15535","police and",206
"15536","proof of",206
"15537","proof that",206
"15538","seen on",206
"15539","set on",206
"15540","she started",206
"15541","so but",206
"15542","some nice",206
"15543","something on",206
"15544","start and",206
"15545","stop me",206
"15546","system to",206
"15547","the cd",206
"15548","the chain",206
"15549","the dust",206
"15550","the grill",206
"15551","the possibilities",206
"15552","them how",206
"15553","thought and",206
"15554","to cheer",206
"15555","to everything",206
"15556","touch the",206
"15557","track and",206
"15558","way is",206
"15559","were taken",206
"15560","what youve",206
"15561","when asked",206
"15562","while its",206
"15563","wont go",206
"15564","year anniversary",206
"15565","yep i",206
"15566","a corner",205
"15567","a knife",205
"15568","a us",205
"15569","ago today",205
"15570","also used",205
"15571","an instant",205
"15572","and girls",205
"15573","any case",205
"15574","are plenty",205
"15575","be using",205
"15576","billion in",205
"15577","but very",205
"15578","create an",205
"15579","day ever",205
"15580","fashion show",205
"15581","forgive me",205
"15582","fun day",205
"15583","goes down",205
"15584","had and",205
"15585","her friend",205
"15586","him it",205
"15587","hotel room",205
"15588","house at",205
"15589","i i",205
"15590","i paid",205
"15591","i win",205
"15592","in africa",205
"15593","in big",205
"15594","is fantastic",205
"15595","it d",205
"15596","just isnt",205
"15597","keeping up",205
"15598","know them",205
"15599","learned how",205
"15600","leaving a",205
"15601","lemon juice",205
"15602","lies in",205
"15603","like their",205
"15604","lol my",205
"15605","loved your",205
"15606","man he",205
"15607","meet in",205
"15608","month ago",205
"15609","must do",205
"15610","of questions",205
"15611","of world",205
"15612","omg omg",205
"15613","on ebay",205
"15614","on whether",205
"15615","our society",205
"15616","please keep",205
"15617","post in",205
"15618","public library",205
"15619","rights to",205
"15620","say thank",205
"15621","says you",205
"15622","sitting next",205
"15623","so cold",205
"15624","so get",205
"15625","so of",205
"15626","sour cream",205
"15627","speak of",205
"15628","team has",205
"15629","than those",205
"15630","the flavor",205
"15631","the go",205
"15632","the governments",205
"15633","the metro",205
"15634","the pace",205
"15635","the rose",205
"15636","this group",205
"15637","times before",205
"15638","to acknowledge",205
"15639","to smile",205
"15640","took her",205
"15641","tried the",205
"15642","unlike the",205
"15643","us into",205
"15644","war ii",205
"15645","was crazy",205
"15646","was walking",205
"15647","was you",205
"15648","wednesday night",205
"15649","well now",205
"15650","were already",205
"15651","will eventually",205
"15652","work tomorrow",205
"15653","yay i",205
"15654","a boyfriend",204
"15655","a dirty",204
"15656","a flight",204
"15657","a mental",204
"15658","a range",204
"15659","a son",204
"15660","add more",204
"15661","all very",204
"15662","always makes",204
"15663","am here",204
"15664","an awful",204
"15665","and receive",204
"15666","apparently i",204
"15667","are definitely",204
"15668","as fast",204
"15669","at these",204
"15670","be patient",204
"15671","being made",204
"15672","better soon",204
"15673","break a",204
"15674","call her",204
"15675","certain that",204
"15676","else and",204
"15677","even on",204
"15678","explore the",204
"15679","feet of",204
"15680","finally found",204
"15681","for four",204
"15682","free for",204
"15683","good friday",204
"15684","good question",204
"15685","had our",204
"15686","have felt",204
"15687","hop on",204
"15688","i spoke",204
"15689","it haha",204
"15690","its our",204
"15691","like having",204
"15692","martin luther",204
"15693","miss your",204
"15694","my words",204
"15695","n roll",204
"15696","of research",204
"15697","often than",204
"15698","placed on",204
"15699","play some",204
"15700","quite sure",204
"15701","recipe is",204
"15702","sad but",204
"15703","save me",204
"15704","see whats",204
"15705","she loved",204
"15706","standing on",204
"15707","the committee",204
"15708","the dentist",204
"15709","the fine",204
"15710","the loop",204
"15711","the of",204
"15712","the thunder",204
"15713","the traffic",204
"15714","the trouble",204
"15715","there if",204
"15716","there must",204
"15717","times as",204
"15718","to honor",204
"15719","to recover",204
"15720","to tackle",204
"15721","to whom",204
"15722","too it",204
"15723","trip and",204
"15724","upon us",204
"15725","was how",204
"15726","we bought",204
"15727","wear the",204
"15728","weekend was",204
"15729","were actually",204
"15730","who never",204
"15731","win it",204
"15732","writing in",204
"15733","you pay",204
"15734","a back",203
"15735","a reader",203
"15736","all with",203
"15737","and beat",203
"15738","and chocolate",203
"15739","and gets",203
"15740","are truly",203
"15741","arts and",203
"15742","baking sheet",203
"15743","base of",203
"15744","but somehow",203
"15745","city to",203
"15746","contributed to",203
"15747","delicious and",203
"15748","describe the",203
"15749","dont come",203
"15750","film the",203
"15751","followers i",203
"15752","food to",203
"15753","for visiting",203
"15754","game today",203
"15755","good book",203
"15756","hi there",203
"15757","home or",203
"15758","hot dogs",203
"15759","how fast",203
"15760","i changed",203
"15761","im super",203
"15762","in detroit",203
"15763","is following",203
"15764","is is",203
"15765","is then",203
"15766","is written",203
"15767","jobs in",203
"15768","kept the",203
"15769","know some",203
"15770","less of",203
"15771","life or",203
"15772","little better",203
"15773","look i",203
"15774","months later",203
"15775","mostly because",203
"15776","my all",203
"15777","my mama",203
"15778","my real",203
"15779","my uncle",203
"15780","of giving",203
"15781","out last",203
"15782","perhaps it",203
"15783","person with",203
"15784","power is",203
"15785","preheat oven",203
"15786","ready and",203
"15787","relax and",203
"15788","remember i",203
"15789","service is",203
"15790","so stupid",203
"15791","so your",203
"15792","store i",203
"15793","sunny day",203
"15794","taste like",203
"15795","that old",203
"15796","thats funny",203
"15797","the advice",203
"15798","the awkward",203
"15799","the drug",203
"15800","the longer",203
"15801","the range",203
"15802","the stone",203
"15803","the younger",203
"15804","they knew",203
"15805","this happen",203
"15806","tips on",203
"15807","to austin",203
"15808","to tie",203
"15809","took to",203
"15810","two men",203
"15811","us were",203
"15812","was absolutely",203
"15813","was running",203
"15814","was shot",203
"15815","where was",203
"15816","who gave",203
"15817","will to",203
"15818","with about",203
"15819","yes to",203
"15820","you fall",203
"15821","you smile",203
"15822","a lawyer",202
"15823","almost years",202
"15824","and felt",202
"15825","and whats",202
"15826","be mad",202
"15827","broke the",202
"15828","call of",202
"15829","came over",202
"15830","cars and",202
"15831","ceo of",202
"15832","chapter of",202
"15833","christmas is",202
"15834","dance with",202
"15835","do our",202
"15836","does one",202
"15837","expect a",202
"15838","failing to",202
"15839","february th",202
"15840","for men",202
"15841","get for",202
"15842","great thanks",202
"15843","handle it",202
"15844","her mind",202
"15845","hot in",202
"15846","i stamped",202
"15847","internet and",202
"15848","introduced to",202
"15849","it myself",202
"15850","it some",202
"15851","keep doing",202
"15852","long after",202
"15853","lost to",202
"15854","love story",202
"15855","may just",202
"15856","me are",202
"15857","meet a",202
"15858","mind when",202
"15859","morning the",202
"15860","my part",202
"15861","never felt",202
"15862","of or",202
"15863","once it",202
"15864","or email",202
"15865","pot of",202
"15866","prove that",202
"15867","regret it",202
"15868","retweet if",202
"15869","s i",202
"15870","say but",202
"15871","school with",202
"15872","shop for",202
"15873","site for",202
"15874","sleep on",202
"15875","so then",202
"15876","so while",202
"15877","sorry that",202
"15878","start in",202
"15879","thats true",202
"15880","the masters",202
"15881","the sounds",202
"15882","the strong",202
"15883","the theater",202
"15884","the working",202
"15885","things as",202
"15886","this semester",202
"15887","thru the",202
"15888","time again",202
"15889","to argue",202
"15890","to mark",202
"15891","to of",202
"15892","to pretend",202
"15893","wait what",202
"15894","was cool",202
"15895","way with",202
"15896","we drove",202
"15897","weight and",202
"15898","well enough",202
"15899","whole family",202
"15900","a bed",201
"15901","a customer",201
"15902","a ghost",201
"15903","a site",201
"15904","about doing",201
"15905","again as",201
"15906","an update",201
"15907","and four",201
"15908","and little",201
"15909","back there",201
"15910","book by",201
"15911","children with",201
"15912","day they",201
"15913","doesnt take",201
"15914","explained that",201
"15915","father of",201
"15916","fine and",201
"15917","found at",201
"15918","four days",201
"15919","game that",201
"15920","good so",201
"15921","gotten a",201
"15922","had become",201
"15923","has worked",201
"15924","image is",201
"15925","imagine what",201
"15926","inspire me",201
"15927","keep getting",201
"15928","know just",201
"15929","letting go",201
"15930","life he",201
"15931","looks to",201
"15932","market for",201
"15933","mean its",201
"15934","moving in",201
"15935","not done",201
"15936","now or",201
"15937","of self",201
"15938","of shoes",201
"15939","one as",201
"15940","one should",201
"15941","ourselves and",201
"15942","put him",201
"15943","ride to",201
"15944","secretary of",201
"15945","services llc",201
"15946","sex is",201
"15947","shadow of",201
"15948","support from",201
"15949","support you",201
"15950","the f",201
"15951","the masses",201
"15952","the midwest",201
"15953","thing im",201
"15954","think to",201
"15955","this be",201
"15956","this im",201
"15957","to cause",201
"15958","to home",201
"15959","tv shows",201
"15960","two new",201
"15961","we actually",201
"15962","week im",201
"15963","welcome and",201
"15964","what made",201
"15965","while still",201
"15966","with less",201
"15967","worst thing",201
"15968","your goals",201
"15969","a fast",200
"15970","a plate",200
"15971","a price",200
"15972","against him",200
"15973","an impact",200
"15974","and oh",200
"15975","and video",200
"15976","apply for",200
"15977","attended the",200
"15978","blame the",200
"15979","cuz im",200
"15980","day what",200
"15981","dreams of",200
"15982","every month",200
"15983","face is",200
"15984","fair to",200
"15985","fine i",200
"15986","gift from",200
"15987","going off",200
"15988","good afternoon",200
"15989","have told",200
"15990","her voice",200
"15991","himself as",200
"15992","his arms",200
"15993","his mom",200
"15994","i finish",200
"15995","i rarely",200
"15996","i share",200
"15997","im there",200
"15998","in awe",200
"15999","influenced by",200
"16000","just leave",200
"16001","kind and",200
"16002","least two",200
"16003","loved that",200
"16004","my foot",200
"16005","my readers",200
"16006","my sis",200
"16007","no he",200
"16008","of violence",200
"16009","out just",200
"16010","passionate about",200
"16011","person on",200
"16012","quite as",200
"16013","ranging from",200
"16014","realise that",200
"16015","realize it",200
"16016","rise and",200
"16017","seems a",200
"16018","she must",200
"16019","she saw",200
"16020","song for",200
"16021","song to",200
"16022","sounded like",200
"16023","talk and",200
"16024","than being",200
"16025","that rt",200
"16026","thats about",200
"16027","the basics",200
"16028","the celtics",200
"16029","the funny",200
"16030","the gun",200
"16031","the hills",200
"16032","the safety",200
"16033","the superbowl",200
"16034","the van",200
"16035","there can",200
"16036","to assume",200
"16037","to inspire",200
"16038","told by",200
"16039","visiting the",200
"16040","walking in",200
"16041","watch my",200
"16042","when and",200
"16043","when was",200
"16044","who won",200
"16045","ya i",200
"16046","you forget",200
"16047","you getting",200
"16048","a hat",199
"16049","a news",199
"16050","a press",199
"16051","a round",199
"16052","albert einstein",199
"16053","an animal",199
"16054","and coming",199
"16055","and listening",199
"16056","are hard",199
"16057","at at",199
"16058","be kind",199
"16059","blown away",199
"16060","cant just",199
"16061","decide if",199
"16062","decide what",199
"16063","do one",199
"16064","doubt it",199
"16065","existence of",199
"16066","experience for",199
"16067","falling asleep",199
"16068","fear the",199
"16069","fix the",199
"16070","for info",199
"16071","for or",199
"16072","friends from",199
"16073","from both",199
"16074","from when",199
"16075","games are",199
"16076","get em",199
"16077","gone for",199
"16078","hate on",199
"16079","hearing the",199
"16080","her hands",199
"16081","however there",199
"16082","id do",199
"16083","keep their",199
"16084","kid is",199
"16085","let a",199
"16086","lots to",199
"16087","love their",199
"16088","maybe next",199
"16089","me ive",199
"16090","money but",199
"16091","need and",199
"16092","next i",199
"16093","of there",199
"16094","our current",199
"16095","out where",199
"16096","reading my",199
"16097","reason the",199
"16098","rock the",199
"16099","shower and",199
"16100","so at",199
"16101","so badly",199
"16102","so will",199
"16103","stood up",199
"16104","story but",199
"16105","story was",199
"16106","surprised that",199
"16107","th st",199
"16108","that again",199
"16109","the beatles",199
"16110","the football",199
"16111","the gap",199
"16112","the grace",199
"16113","the sad",199
"16114","the strongest",199
"16115","the venue",199
"16116","the walk",199
"16117","the x",199
"16118","then one",199
"16119","they live",199
"16120","this information",199
"16121","this that",199
"16122","this wonderful",199
"16123","those guys",199
"16124","though there",199
"16125","throw up",199
"16126","to access",199
"16127","to attract",199
"16128","to preserve",199
"16129","too high",199
"16130","too small",199
"16131","twice as",199
"16132","was fine",199
"16133","was me",199
"16134","we ever",199
"16135","we work",199
"16136","wondered if",199
"16137","years as",199
"16138","yes this",199
"16139","you move",199
"16140","yrs ago",199
"16141","a cover",198
"16142","a master",198
"16143","a ring",198
"16144","across from",198
"16145","almost like",198
"16146","am ready",198
"16147","amazon eu",198
"16148","amazon services",198
"16149","an album",198
"16150","an older",198
"16151","and goes",198
"16152","and played",198
"16153","and realized",198
"16154","another person",198
"16155","be posted",198
"16156","by having",198
"16157","change to",198
"16158","decided it",198
"16159","dont play",198
"16160","for using",198
"16161","friends on",198
"16162","got any",198
"16163","have lived",198
"16164","headed out",198
"16165","here now",198
"16166","his daughter",198
"16167","how awesome",198
"16168","i owe",198
"16169","im playing",198
"16170","in four",198
"16171","in was",198
"16172","is mine",198
"16173","isnt just",198
"16174","it anymore",198
"16175","keep him",198
"16176","knowing what",198
"16177","large bowl",198
"16178","like hes",198
"16179","lol u",198
"16180","me have",198
"16181","me where",198
"16182","model for",198
"16183","movie with",198
"16184","music that",198
"16185","my daily",198
"16186","my food",198
"16187","my homework",198
"16188","never gets",198
"16189","new show",198
"16190","of sorts",198
"16191","or someone",198
"16192","price for",198
"16193","project that",198
"16194","really happy",198
"16195","remember my",198
"16196","right or",198
"16197","rise to",198
"16198","season the",198
"16199","see one",198
"16200","seven years",198
"16201","that weve",198
"16202","thats exactly",198
"16203","the atlantic",198
"16204","the essence",198
"16205","the sport",198
"16206","the typical",198
"16207","their name",198
"16208","these years",198
"16209","things ive",198
"16210","this much",198
"16211","time today",198
"16212","to adopt",198
"16213","to attack",198
"16214","was expecting",198
"16215","week ago",198
"16216","why so",198
"16217","wit me",198
"16218","would know",198
"16219","write for",198
"16220","you kidding",198
"16221","you over",198
"16222","you took",198
"16223","young men",198
"16224","your account",198
"16225","a baseball",197
"16226","a digital",197
"16227","a discussion",197
"16228","a power",197
"16229","a prayer",197
"16230","back is",197
"16231","because his",197
"16232","bringing the",197
"16233","broke up",197
"16234","brother is",197
"16235","career in",197
"16236","child of",197
"16237","chips and",197
"16238","clean the",197
"16239","crazy i",197
"16240","date and",197
"16241","down this",197
"16242","drop the",197
"16243","enjoy my",197
"16244","fight the",197
"16245","first is",197
"16246","follow a",197
"16247","for first",197
"16248","haha its",197
"16249","happy you",197
"16250","have about",197
"16251","have asked",197
"16252","he became",197
"16253","he needed",197
"16254","here he",197
"16255","him what",197
"16256","hits the",197
"16257","honest and",197
"16258","hope of",197
